id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
1293,CYLS,medium_airport,Barrie-Lake Simcoe Regional Airport,44.485056,-79.554663,972,,Canada,CA,Ontario,CA-ON,ON,Barrie,1,CYLS,CYLS,YLK,CYLS,http://www.lakesimcoeairport.com/,https://en.wikipedia.org/wiki/Barrie-Orillia_(Lake_Simcoe_Regional)_Airport,"NB9, CNB9, Oro Station",500,2024-04-04T13:17:54+00:00
1882,CYQY,medium_airport,Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798,203,,Canada,CA,Nova Scotia,CA-NS,NS,Sydney,1,CYQY,CYQY,YQY,,http://www.sydneyairport.ca/,https://en.wikipedia.org/wiki/Sydney/J.A._Douglas_McCurdy_Airport,,750,2018-09-16T02:31:25+00:00
1848,CYPK,medium_airport,Pitt Meadows Regional Airport,49.21488,-122.709294,11,,Canada,CA,British Columbia,CA-BC,BC,Pitt Meadows,1,CYPK,CYPK,,,,https://en.wikipedia.org/wiki/Pitt_Meadows_Airport,YPK,500,2026-01-14T16:22:00+00:00
1997,CYZR,medium_airport,Chris Hadfield Airport,42.999401,-82.308899,594,,Canada,CA,Ontario,CA-ON,ON,Sarnia,0,CYZR,CYZR,YZR,,,https://en.wikipedia.org/wiki/Sarnia_(Chris_Hadfield)_Airport,,750,2024-04-04T12:52:21+00:00
1686,CYCC,medium_airport,Cornwall Regional Airport,45.092637,-74.567724,175,,Canada,CA,Ontario,CA-ON,ON,Cornwall,0,CYCC,CYCC,YCC,,,https://en.wikipedia.org/wiki/Cornwall_Regional_Airport,,250,2022-02-19T13:21:02+00:00
1317,CNL3,small_airport,Brockville - Thousand Islands Regional Tackaberry Airport,44.63940048,-75.75029755,402,,Canada,CA,Ontario,CA-ON,ON,Brockville,0,CNL3,,XBR,CNL3,,https://en.wikipedia.org/wiki/Brockville-Thousand_Islands_Regional_Tackaberry_Airport,NL3,50,2013-06-27T16:47:39+00:00
1295,CNC4,small_airport,Guelph Airport,43.56389999,-80.19609833,1100,,Canada,CA,Ontario,CA-ON,ON,Guelph,0,CNC4,,,CNC4,http://www.aviationinternational.com/,https://en.wikipedia.org/wiki/Guelph_Airport,NC4,50,2008-09-04T14:40:48+00:00
1871,CYQL,medium_airport,Lethbridge County Airport,49.63029861,-112.8000031,3048,,Canada,CA,Alberta,CA-AB,AB,Lethbridge,1,CYQL,CYQL,YQL,,,https://en.wikipedia.org/wiki/Lethbridge_County_Airport,Kenyon Field,750,2011-08-25T17:42:43+00:00
1716,CYEE,medium_airport,Huronia Airport,44.68330002,-79.92829895,770,,Canada,CA,Ontario,CA-ON,ON,Midland,0,CYEE,,,YEE,,https://en.wikipedia.org/wiki/Midland/Huronia_Airport,,250,2012-01-14T03:04:01+00:00
1876,CYQS,medium_airport,St Thomas Municipal Airport,42.77000046,-81.1108017,778,,Canada,CA,Ontario,CA-ON,ON,St Thomas,0,CYQS,CYQS,YQS,,,https://en.wikipedia.org/wiki/St._Thomas_Airport,,250,2008-06-13T14:30:04+00:00
1699,CYCW,small_airport,Chilliwack Airport,49.153157,-121.939309,32,,Canada,CA,British Columbia,CA-BC,BC,Chilliwack,0,CYCW,CYCW,YCW,,,https://en.wikipedia.org/wiki/Chilliwack_Airport,YCW,50,2021-10-04T13:24:20+00:00
1904,CYSJ,medium_airport,Saint John Airport,45.31610107,-65.89029694,357,,Canada,CA,New Brunswick,CA-NB,NB,Saint John,1,CYSJ,CYSJ,YSJ,,,https://en.wikipedia.org/wiki/Saint_John_Airport,,750,2008-06-13T14:30:04+00:00
1898,CYSC,medium_airport,Sherbrooke Airport,45.438599,-71.691399,792,,Canada,CA,Quebec,CA-QC,QC,Sherbrooke,0,CYSC,CYSC,YSC,,,https://en.wikipedia.org/wiki/Sherbrooke_Airport,,275,2022-03-08T12:28:06+00:00
1874,CYQQ,large_airport,Comox Valley International Airport / CFB Comox,49.7108,-124.887001,84,,Canada,CA,British Columbia,CA-BC,BC,Comox,1,CYQQ,CYQQ,YQQ,,https://comoxairport.com,https://en.wikipedia.org/wiki/CFB_Comox,CFB Comox,1000,2026-01-14T15:41:45+00:00
1666,CYAZ,medium_airport,Tofino / Long Beach Airport,49.079833,-125.775583,80,,Canada,CA,British Columbia,CA-BC,BC,Tofino,1,CYAZ,CYAZ,YAZ,,http://www.acrd.bc.ca/long-beach-airport,https://en.wikipedia.org/wiki/Tofino_Airport,,750,2016-04-29T14:35:39+00:00
1992,CYZE,medium_airport,Gore Bay Manitoulin Airport,45.8853,-82.567802,623,,Canada,CA,Ontario,CA-ON,ON,Gore Bay,0,CYZE,CYZE,YZE,,,https://en.wikipedia.org/wiki/Gore_Bay-Manitoulin_Airport,,275,2021-02-09T11:40:06+00:00
1675,CYBL,medium_airport,Campbell River Airport,49.950802,-125.271004,346,,Canada,CA,British Columbia,CA-BC,BC,Campbell River,1,CYBL,CYBL,YBL,YBL,,https://en.wikipedia.org/wiki/Campbell_River_Airport,,750,2019-10-08T00:31:48+00:00
1893,CYRQ,medium_airport,Trois-Rivières Airport,46.35279846,-72.67939758,199,,Canada,CA,Quebec,CA-QC,QC,Trois-Rivières,0,CYRQ,CYRQ,YRQ,,,https://en.wikipedia.org/wiki/Trois-Rivi%C3%A8res_Airport,,250,2009-01-24T12:45:21+00:00
1955,CYXC,medium_airport,Cranbrook/Canadian Rockies International Airport,49.6108017,-115.7819977,3082,,Canada,CA,British Columbia,CA-BC,BC,Cranbrook,1,CYXC,CYXC,YXC,,,https://en.wikipedia.org/wiki/Cranbrook/Canadian_Rockies_International_Airport,,750,2015-08-07T19:16:42+00:00
1836,CYOJ,medium_airport,High Level Airport,58.62139893,-117.1650009,1110,,Canada,CA,Alberta,CA-AB,AB,High Level,1,CYOJ,CYOJ,YOJ,,,https://en.wikipedia.org/wiki/High_Level_Airport,,750,2008-06-13T14:30:04+00:00
